X,Y,fid,interferen,idinventar,idinvent_1,distrito,idinvent_2,fechaplant,alturaprim,alturatota,anchoacera,diametroco,distanciae,distanciaf,edadrelati,elemprotec,espaciodis,estadogene,estructura,fasesdesat,tipoformat,inclinacio,cartodb_id,marcoplant,nivelinter,orografiat,perimetrot,porcentpen,singularid,tipologiaa,tipologiac,tipoaguati,tipodanoti,tipointerf,tiporiegot,tipotutort,vitalidadt,esperanzas,riegotipoe,codigoespe,d_especie_,borrado,ninterno,id_inventa,icon_url
-3.66767302423365,40.4514111433158,"237591",,,"522665","5",ARB_02-05_0000522665,,,4.5,,1,,,RC,,,SANO,,,,,"237235",,,,19,,,,,POTABLE,,,,TUTOR_MADERA,,,GOTEO,,,"0","522665",,./0.png
-3.68972649918186,40.4441830763162,"237596",,,"522682","5",ARB_02-05_0000522682,,,4.5,,1,,,RC,,,SANO,,,,,"237240",,,,17,,,,,,,,,TUTOR_MADERA,,,,,,"0","522682",,./0.png
-3.68841369879112,40.4508619602558,"237606",,,"522694","5",ARB_02-05_0000522694,,,5.5,,1,,,RC,,,SANO,,,,,"237250",,,,11,,,,,POTABLE,,,,TUTOR_MADERA,,,,,,"0","522694",,./0.png
-3.68247758450187,40.4432017162837,"237614",,,"522724","5",ARB_02-05_0000522724,,,4,,4,,,RC,,,SANO,,,,,"237259",,,,10,,,,,,,,,TUTOR_MADERA,,,,,,"0","522724",,./0.png
-3.6788619364807,40.4497906751781,"237617",,,"522732","5",ARB_02-05_0000522732,,,4.5,,1,,,RC,,,SANO,,,,,"237262",,,,10,,,,,,,,,TUTOR_MADERA,,,,,,"0","522732",,./0.png
-3.67651177985457,40.4678257704558,"237628",,,"522761","5",ARB_02-05_0000522761,,,6.5,,4,,,RC,,,SANO,,,,,"237273",,,,15,,,,,,,,,TUTOR_MADERA,,,,,,"0","522761",,./0.png
-3.68834984195711,40.5035997874284,"247423",no,,"459499","8",ARB_03-08_0000046972,2018/05/21,2.4,5,3,1,MUY_PEQUENA,GRANDE,NC,,,SANO,ESTRUCTURADO,,,"30","247100",,,,18,,,,TERRIZO,,,,,TUTOR_MADERA,,,,,,"0","46972",,./0.png
-3.69192389740934,40.4923485401189,"247455",no,,"460436","8",ARB_03-08_0000047909,2017/02/22,2.5,5,2,1.5,MUY_PEQUENA,MEDIANA,NC,,,SANO,,,,,"247133",,,,16,,,,ALCORQUE,POTABLE,,,,METALICO_3_PIES,,,OTROS,,,"0","47909",,./0.png
-3.71287840783134,40.4864793231969,"248169",no,,"472412","8",ARB_03-08_0000059885,2018/05/15,2.2,4.5,2,1,PEQUENA,GRANDE,NC,,,SANO,ESTRUCTURADO,,,,"247873",,,,17,,,,ALCORQUE,POTABLE,,,,TUTOR_MADERA,,,OTROS,,,"0","59885",,./0.png
-3.72529475068932,40.494798326716,"249392",no,,"520010","8",ARB_03-08_0000520010,2019/02/13,,4.5,4,1,MEDIANA,GRANDE,NC,,,ALGO_ENFERMO,,,,,"249162",,,,16,,,,,POTABLE,,,PROGRAMABLE,TUTOR_MADERA,,,GOTEO,,,"0","520010",,./0.png
